date,ren_share_daily_avg
2023-10-17,29.7
2023-10-18,53.0
2023-10-19,54.8
2023-10-20,65.9
2023-10-21,69.5
2023-10-22,72.9
2023-10-23,33.5
2023-10-24,39.8
2023-10-25,44.1
2023-10-26,34.9
2023-10-27,36.8
2023-10-28,56.9
2023-10-29,90.7
2023-10-30,56.0
2023-10-31,56.6
2023-11-01,67.2
2023-11-02,77.8
2023-11-03,66.0
2023-11-04,87.3
2023-11-05,81.3
2023-11-06,80.7
2023-11-07,65.8
2023-11-08,71.2
2023-11-09,60.8
2023-11-10,54.8
2023-11-11,47.0
2023-11-12,34.8
2023-11-13,54.1
2023-11-14,75.9
2023-11-15,53.1
2023-11-16,44.9
2023-11-17,33.3
2023-11-18,49.8
2023-11-19,88.2
2023-11-20,48.1
2023-11-21,31.7
2023-11-22,40.1
2023-11-23,80.5
2023-11-24,77.7
2023-11-25,58.9
2023-11-26,35.8
2023-11-27,41.2
2023-11-28,37.8
2023-11-29,42.3
2023-11-30,17.3
2023-12-01,18.7
2023-12-02,20.9
2023-12-03,32.9
2023-12-04,42.4
2023-12-05,45.9
2023-12-06,27.2
2023-12-07,24.4
2023-12-08,38.4
2023-12-09,66.6
2023-12-10,86.4
2023-12-11,61.0
2023-12-12,32.8
2023-12-13,43.3
2023-12-14,23.9
2023-12-15,38.3
2023-12-16,70.3
2023-12-17,77.1
2023-12-18,67.5
2023-12-19,64.4
2023-12-20,78.7
2023-12-21,94.8
2023-12-22,96.7
2023-12-23,83.0
2023-12-24,103.7
2023-12-25,97.9
2023-12-26,101.6
2023-12-27,63.3
2023-12-28,100.7
2023-12-29,105.6
2023-12-30,89.3
2023-12-31,92.3
2024-01-01,95.5
2024-01-02,77.2
2024-01-03,87.9
2024-01-04,57.3
2024-01-05,55.8
2024-01-06,46.3
2024-01-07,50.0
2024-01-08,49.5
2024-01-09,35.5
2024-01-10,27.2
2024-01-11,25.4
2024-01-12,28.4
2024-01-13,58.3
2024-01-14,68.0
2024-01-15,56.9
2024-01-16,40.4
2024-01-17,34.5
2024-01-18,30.0
2024-01-19,58.0
2024-01-20,68.3
2024-01-21,83.4
2024-01-22,81.5
2024-01-23,79.2
2024-01-24,87.7
2024-01-25,59.1
2024-01-26,70.5
2024-01-27,66.3
2024-01-28,69.3
2024-01-29,52.7
2024-01-30,54.6
2024-01-31,55.1
2024-02-01,66.5
2024-02-02,73.6
2024-02-03,90.8
2024-02-04,100.9
2024-02-05,93.6
2024-02-06,92.3
2024-02-07,56.1
2024-02-08,33.7
2024-02-09,59.4
2024-02-10,46.0
2024-02-11,55.7
2024-02-12,41.1
2024-02-13,55.0
2024-02-14,51.2
2024-02-15,46.7
2024-02-16,59.9
2024-02-17,47.5
2024-02-18,68.5
2024-02-19,64.5
2024-02-20,57.9
2024-02-21,65.7
2024-02-22,69.3
2024-02-23,72.6
2024-02-24,60.4
2024-02-25,57.3
2024-02-26,43.1
2024-02-27,29.5
2024-02-28,30.3
2024-02-29,57.9
2024-03-01,46.8
2024-03-02,60.2
2024-03-03,63.3
2024-03-04,32.3
2024-03-05,37.8
2024-03-06,30.7
2024-03-07,43.2
2024-03-08,72.8
2024-03-09,83.1
2024-03-10,85.5
2024-03-11,54.0
2024-03-12,28.6
2024-03-13,38.9
2024-03-14,52.1
2024-03-15,68.8
2024-03-16,76.3
2024-03-17,53.6
2024-03-18,41.5
2024-03-19,40.4
2024-03-20,32.8
2024-03-21,45.9
2024-03-22,57.8
2024-03-23,75.3
2024-03-24,95.6
2024-03-25,50.6
2024-03-26,60.2
2024-03-27,45.8
2024-03-28,68.7
2024-03-29,77.7
2024-03-30,55.1
2024-03-31,57.1
2024-04-01,61.0
2024-04-02,86.4
2024-04-03,49.4
2024-04-04,74.0
2024-04-05,77.6
2024-04-06,80.9
2024-04-07,79.9
2024-04-08,45.6
2024-04-09,66.5
2024-04-10,57.0
2024-04-11,60.3
2024-04-12,60.7
2024-04-13,79.1
2024-04-14,85.2
2024-04-15,60.8
2024-04-16,66.9
2024-04-17,37.5
2024-04-18,44.2
2024-04-19,75.2
2024-04-20,64.6
2024-04-21,61.2
2024-04-22,41.7
2024-04-23,43.1
2024-04-24,47.8
2024-04-25,42.4
2024-04-26,47.5
2024-04-27,62.6
2024-04-28,86.0
2024-04-29,53.2
2024-04-30,60.6
2024-05-01,93.2
2024-05-02,83.7
2024-05-03,57.1
2024-05-04,47.8
2024-05-05,71.5
2024-05-06,39.9
2024-05-07,37.0
2024-05-08,38.5
2024-05-09,56.2
2024-05-10,51.9
2024-05-11,60.8
2024-05-12,82.8
2024-05-13,73.6
2024-05-14,81.3
2024-05-15,76.2
2024-05-16,69.8
2024-05-17,66.3
2024-05-18,57.1
2024-05-19,57.5
2024-05-20,64.2
2024-05-21,63.7
2024-05-22,55.9
2024-05-23,49.2
2024-05-24,43.5
2024-05-25,55.6
2024-05-26,62.2
2024-05-27,47.0
2024-05-28,50.5
2024-05-29,61.1
2024-05-30,45.7
2024-05-31,45.8
2024-06-01,62.3
2024-06-02,73.7
2024-06-03,42.7
2024-06-04,45.7
2024-06-05,61.1
2024-06-06,54.8
2024-06-07,52.7
2024-06-08,76.3
2024-06-09,78.9
2024-06-10,58.9
2024-06-11,73.5
2024-06-12,60.1
2024-06-13,49.9
2024-06-14,56.8
2024-06-15,87.3
2024-06-16,78.9
2024-06-17,49.0
2024-06-18,42.8
2024-06-19,44.9
2024-06-20,42.9
2024-06-21,42.2
2024-06-22,74.7
2024-06-23,59.3
2024-06-24,49.8
2024-06-25,59.1
2024-06-26,53.0
2024-06-27,47.0
2024-06-28,64.8
2024-06-29,59.3
2024-06-30,60.4
2024-07-01,49.4
2024-07-02,53.0
2024-07-03,46.6
2024-07-04,74.8
2024-07-05,74.8
2024-07-06,89.3
2024-07-07,78.0
2024-07-08,52.8
2024-07-09,62.7
2024-07-10,49.0
2024-07-11,45.4
2024-07-12,53.6
2024-07-13,74.5
2024-07-14,73.8
2024-07-15,58.4
2024-07-16,66.0
2024-07-17,60.6
2024-07-18,46.3
2024-07-19,48.1
2024-07-20,63.9
2024-07-21,62.5
2024-07-22,55.7
2024-07-23,52.5
2024-07-24,56.3
2024-07-25,50.0
2024-07-26,46.5
2024-07-27,39.7
2024-07-28,69.1
2024-07-29,57.4
2024-07-30,50.2
2024-07-31,44.2
2024-08-01,40.8
2024-08-02,39.5
2024-08-03,50.8
2024-08-04,63.6
2024-08-05,44.2
2024-08-06,48.3
2024-08-07,43.1
2024-08-08,42.1
2024-08-09,71.7
2024-08-10,71.6
2024-08-11,61.7
2024-08-12,52.8
2024-08-13,57.9
2024-08-14,44.4
2024-08-15,46.4
2024-08-16,50.1
2024-08-17,41.3
2024-08-18,39.5
2024-08-19,41.4
2024-08-20,51.5
2024-08-21,72.6
2024-08-22,69.2
2024-08-23,82.4
2024-08-24,77.4
2024-08-25,78.6
2024-08-26,51.1
2024-08-27,49.0
2024-08-28,54.7
2024-08-29,47.4
2024-08-30,40.8
2024-08-31,62.9
2024-09-01,76.6
2024-09-02,50.4
2024-09-03,38.5
2024-09-04,36.7
2024-09-05,67.0
2024-09-06,61.9
2024-09-07,55.3
2024-09-08,50.8
2024-09-09,43.9
2024-09-10,68.5
2024-09-11,55.7
2024-09-12,39.8
2024-09-13,50.6
2024-09-14,68.7
2024-09-15,60.2
2024-09-16,41.5
2024-09-17,51.9
2024-09-18,57.2
2024-09-19,61.3
2024-09-20,70.6
2024-09-21,64.1
2024-09-22,51.1
2024-09-23,33.9
2024-09-24,48.9
2024-09-25,61.2
2024-09-26,69.7
2024-09-27,90.9
2024-09-28,78.4
2024-09-29,59.2
2024-09-30,69.7
2024-10-01,59.9
2024-10-02,47.7
2024-10-03,57.0
2024-10-04,41.5
2024-10-05,37.5
2024-10-06,64.4
2024-10-07,52.1
2024-10-08,48.9
2024-10-09,58.9
2024-10-10,71.3
2024-10-11,52.3
2024-10-12,69.4
2024-10-13,104.2
2024-10-14,38.9
2024-10-15,43.3
2024-10-16,75.9
2024-10-17,57.0
2024-10-18,32.9
2024-10-19,44.9
2024-10-20,67.2
2024-10-21,53.5
2024-10-22,48.2
2024-10-23,34.3
2024-10-24,41.8
2024-10-25,38.0
2024-10-26,41.1
2024-10-27,47.3
2024-10-28,48.4
2024-10-29,32.2
2024-10-30,29.1
2024-10-31,44.1
2024-11-01,58.9
2024-11-02,32.7
2024-11-03,39.1
2024-11-04,26.9
2024-11-05,25.3
2024-11-06,15.6
2024-11-07,17.1
2024-11-08,32.8
2024-11-09,27.1
2024-11-10,22.4
2024-11-11,31.3
2024-11-12,23.7
2024-11-13,24.5
2024-11-14,39.6
2024-11-15,33.6
2024-11-16,61.0
2024-11-17,79.8
2024-11-18,59.7
2024-11-19,48.8
2024-11-20,52.0
2024-11-21,47.5
2024-11-22,62.5
2024-11-23,72.7
2024-11-24,95.9
2024-11-25,72.0
2024-11-26,51.3
2024-11-27,57.5
2024-11-28,67.4
2024-11-29,32.4
2024-11-30,56.4
2024-12-01,51.5
2024-12-02,50.3
2024-12-03,41.4
2024-12-04,26.3
2024-12-05,56.1
2024-12-06,65.0
2024-12-07,65.5
2024-12-08,50.7
2024-12-09,59.1
2024-12-10,39.7
2024-12-11,17.2
2024-12-12,16.2
2024-12-13,24.3
2024-12-14,52.8
2024-12-15,85.4
2024-12-16,84.1
2024-12-17,58.1
2024-12-18,79.4
2024-12-19,85.8
2024-12-20,76.8
2024-12-21,93.8
2024-12-22,83.6
2024-12-23,75.0
2024-12-24,45.2
2024-12-25,39.7
2024-12-26,30.6
2024-12-27,24.6
2024-12-28,25.0
2024-12-29,47.4
2024-12-30,60.9
2024-12-31,67.1
2025-01-01,97.5
2025-01-02,61.8
2025-01-03,68.8
2025-01-04,39.0
2025-01-05,61.4
2025-01-06,90.1
2025-01-07,77.5
2025-01-08,55.1
2025-01-09,41.7
2025-01-10,53.0
2025-01-11,57.2
2025-01-12,39.8
2025-01-13,34.6
2025-01-14,49.9
2025-01-15,24.9
2025-01-16,27.6
2025-01-17,23.6
2025-01-18,24.4
2025-01-19,32.3
2025-01-20,24.0
2025-01-21,27.0
2025-01-22,36.3
2025-01-23,60.2
2025-01-24,73.9
2025-01-25,59.3
2025-01-26,51.2
2025-01-27,73.9
2025-01-28,54.6
2025-01-29,64.6
2025-01-30,40.3
2025-01-31,42.0
2025-02-01,31.2
2025-02-02,28.7
2025-02-03,24.5
2025-02-04,35.3
2025-02-05,35.1
2025-02-06,27.6
2025-02-07,66.5
2025-02-08,62.0
2025-02-09,47.3
2025-02-10,55.4
2025-02-11,54.0
2025-02-12,40.6
2025-02-13,26.3
2025-02-14,20.1
2025-02-15,21.7
2025-02-16,39.7
2025-02-17,31.1
2025-02-18,41.4
2025-02-19,62.4
2025-02-20,54.2
2025-02-21,58.8
2025-02-22,69.4
2025-02-23,57.2
2025-02-24,67.4
2025-02-25,32.3
2025-02-26,29.3
2025-02-27,34.9
2025-02-28,28.2
2025-03-01,32.3
2025-03-02,54.6
2025-03-03,54.4
2025-03-04,50.7
2025-03-05,62.8
2025-03-06,52.7
2025-03-07,43.2
2025-03-08,53.9
2025-03-09,55.7
2025-03-10,32.7
2025-03-11,29.9
2025-03-12,24.2
2025-03-13,27.3
2025-03-14,29.5
2025-03-15,51.1
2025-03-16,57.8
2025-03-17,54.8
2025-03-18,49.7
2025-03-19,42.6
